Designator,Mid X,Mid Y,Rotation,Layer
C1,120.015,-109.855,90.0,top
C2,104.14,-104.14,90.0,top
C3,124.46,-108.8175,270.0,top
C4,157.7125,-113.665,180.0,top
C5,174.2225,-113.665,180.0,top
C6,143.1075,-113.665,180.0,top
C7,117.475,-138.43,270.0,bottom
C8,113.665,-109.855,90.0,top
D1,109.22,-137.795,270.0,top
D2,114.3,-137.795,270.0,top
J1,114.975,-104.3625,90.0,top
J2,113.03,-127.635,270.0,top
J3,109.785,-121.285,180.0,top
R1,109.22,-134.3425,90.0,top
R2,114.3,-134.3425,90.0,top
RN1,179.07,-116.205,270.0,top
U1,136.535,-116.195,0.0,top
U2,151.15,-116.205,0.0,top
U3,167.66,-116.205,0.0,top
U4,116.975,-109.855,270.0,top
U5,136.525,-108.59,90.0,top
U6,120.65,-130.175,90.0,bottom
